$ ollama list

STDOUT:
NAME                      ID              SIZE      MODIFIED     
phi4-mini:latest          78fad5d182a7    2.5 GB    27 hours ago    
qwen2.5-coder:14b         9ec8897f747e    9.0 GB    28 hours ago    
qwen2.5-coder:7b          dae161e27b0e    4.7 GB    4 days ago      
dolphin-mistral:latest    5dc8c5a2be65    4.1 GB    8 weeks ago     
Spirit:latest             613f068e29f8    4.7 GB    8 weeks ago     
dolphin-llama3:latest     613f068e29f8    4.7 GB    8 weeks ago     
gpt-4o-mini:latest        46e0c10c039e    4.9 GB    2 months ago    
gpt-4o:latest             46e0c10c039e    4.9 GB    2 months ago    
llama3.1:latest           46e0c10c039e    4.9 GB    2 months ago    


STDERR:

