filename,current_path,status,best_candidate,duration_diff,score,reasons
"484374_720p.mkv","/mnt/spirit-8tb/media/yes/484374_720p.mkv","restore_ready","D:\tempVidStorage\missing\484374_720p.mp4","0.0006670000000212895","1.000","title exact; id 484374; duration <=2s; same resolution"
"550807_720p.mkv","/mnt/spirit-8tb/media/yes/550807_720p.mkv","restore_ready","D:\tempVidStorage\missing\550807_720p.mp4","0.00022400000000288856","1.000","title exact; id 550807; duration <=2s; same resolution"
"432038_720p.mkv","/mnt/spirit-8tb/media/yes/432038_720p.mkv","blocked","D:\tempVidStorage\missing\32038_720p.mp4","0.00041699999997035775","0.680","title near; duration <=2s; same resolution"
"14318872.mkv","/mnt/spirit-8tb/media/yes/14318872.mkv","restore_ready","D:\tempVidStorage\missing\14318872.mp4","0.08677099999999882","1.000","title exact; id 14318872; duration <=2s; same resolution"
"b072fcb9f821c935f46a4ed67477a041.mkv","/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mkv","restore_ready","D:\tempVidStorage\missing\b072fcb9f821c935f46a4ed67477a041.mp4","0.0242919999999458","1.000","title exact; id 72/821/935/67477/41; duration <=2s; same aspect"
"513329_720p.mkv","/mnt/spirit-8tb/media/yes/513329_720p.mkv","manual_review","D:\tempVidStorage\missing\513329_720.mp4","0.0003329999999834854","0.840","title near; id 513329; duration <=2s; same aspect"
"564677_720p.mkv","/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mkv","restore_ready","D:\tempVidStorage\missing\564677_720p.mp4","0.0003749999999911324","1.000","title exact; id 564677; duration <=2s; same aspect"
"51591.mkv","/mnt/spirit-8tb/media/yes/models/cute-geekie/51591.mkv","restore_ready","D:\tempVidStorage\missing\51591.mp4","0.022667000000069493","1.000","title exact; id 51591; duration <=2s; same resolution"
"(28).mkv","/mnt/spirit-8tb/media/yes/models/sava-schultz/(28).mkv","blocked","D:\tempVidStorage\missing\(28).mp4","13.22175","0.590","title exact; duration <=15s; same aspect"
"556530_720p.mkv","/mnt/spirit-8tb/media/yes/models/angela-white/556530_720p.mkv","restore_ready","D:\tempVidStorage\missing\556530_720p.mp4","0.00016700000014679972","1.000","title exact; id 556530; duration <=2s; same resolution"
"@MLHUBOF Telegram ???? - 959.mkv","","blocked","","","0.000","current file not found by exact filename scan"
"@MLHUBOF Telegram ???? - 870.mkv","","blocked","","","0.000","current file not found by exact filename scan"
"?@ofxmega on [TELEGRAM] (86).mkv","","approved_remove_from_library","","","0.000","current file not found by exact filename scan"
