index,current_path,filename,normalized_basename,size_bytes,size_human,duration_seconds,duration_human,video_codec,audio_codec,width,height,jellyfin_item_id,jellyfin_name,in_yes_folder_queue,has_media_ingest_json,has_face_meta_json,other_sidecars,model_person_smart_metadata_presence,why_missing,nearest_weak_candidate,nearest_source,nearest_score,nearest_class,nearest_reasons,recommended_next_action
1,/mnt/spirit-8tb/media/yes/484374_720p.mkv,484374_720p.mkv,484374 720p,44153528,42.11 MiB,543.85,9:04,hevc,aac,406,720,B03F8725-1D76-2BBF-A0BC-41DB424589EE,484374_720p,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\ruth-lee-after-gym-blowjob-titty-fuck-cumshot-video-leaked-480p.mp4,android-backup,0.4,weak/near only,duration <=1.5s; same aspect; same audio codec; similar size; mp4-like container,investigate renamed backup file
2,/mnt/spirit-8tb/media/yes/550807_720p.mkv,550807_720p.mkv,550807 720p,77935567,74.33 MiB,888.861,14:49,hevc,aac,1280,720,1F5CE77C-0916-55A3-D0F9-97C12B03545B,550807_720p,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\442642_720p.mp4,android-backup,0.24,weak/near only,numeric id; duration <=15s; same audio codec; similar size; mp4-like container,keep MKV and Mac-optimize to MP4
3,/mnt/spirit-8tb/media/yes/432038_720p.mkv,432038_720p.mkv,432038 720p,90439863,86.25 MiB,952.903,15:53,hevc,aac,406,720,B8EC653C-FF91-2161-02C2-25D85A226E9B,432038_720p,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\v 4.mp4,android-backup,0.22,weak/near only,duration <=5s; same audio codec; mp4-like container,keep MKV and Mac-optimize to MP4
4,/mnt/spirit-8tb/media/yes/14318872.mkv,14318872.mkv,14318872,126822781,120.95 MiB,1584.416,26:24,hevc,aac,1920,1080,00E1CC8E-2257-0790-2C34-92A443C59548,14318872,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqkpcwoj-4a52b578/Lexi Marvel Teases Her Seductive Curves.mp4,dell-original,0,no match,duration mismatch 1278.5s; same audio codec; mp4-like container,keep MKV and Mac-optimize to MP4
5,/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mkv,b072fcb9f821c935f46a4ed67477a041.mkv,b072fcb9f821c935f46a4ed67477a041,42449710,40.48 MiB,536.503,8:57,hevc,aac,854,480,A80DC40F-BED2-0831-D2E6-25A7B6ABD009,b072fcb9f821c935f46a4ed67477a041,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\ruth-lee-after-gym-blowjob-titty-fuck-cumshot-video-leaked-480p.mp4,android-backup,0.16,weak/near only,duration <=15s; same audio codec; similar size; mp4-like container,keep MKV and Mac-optimize to MP4
6,/mnt/spirit-8tb/media/yes/513329_720p.mkv,513329_720p.mkv,513329 720p,19004555,18.12 MiB,252.919,4:13,hevc,aac,406,720,61CB27E0-5735-9587-453C-02BB0E321D6B,513329_720p,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\jvlrc49ddg~7KxkgZMm9j.mp4,android-backup,0.22,weak/near only,duration <=5s; same audio codec; mp4-like container,keep MKV and Mac-optimize to MP4
7,/mnt/spirit-8tb/media/yes/Aaliyah Yasin Has Unprotected Sex With A Stranger.optimized.mkv,Aaliyah Yasin Has Unprotected Sex With A Stranger.optimized.mkv,aaliyah yasin has unprotected sex with a stranger optimized,327185017,312.03 MiB,1959.81,32:40,hevc,aac,1280,720,229BDCD9-E017-9B26-7DFE-87813945C526,Aaliyah Yasin Has Unprotected Sex With A Stranger.optimized,true,true,false,,media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqfrfcxw-65330397/Aaliyah Yasin Has Unprotected Sex With A Stranger.mp4,dell-original,0.4,weak/near only,duration <=1.5s; same resolution; same audio codec; mp4-like container,investigate renamed backup file
8,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__406.mkv,OF4LM.COM is our home__406.mkv,of4lm com is our home 406,8298562,7.91 MiB,99.883,1:40,hevc,aac,1040,760,B78A1E20-FCB2-E948-19DD-EF4C5699C1D6,OF4LM.COM is our home__406,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__406.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
9,/mnt/spirit-8tb/media/yes/unknown/ScreenRecording_05-20-2026 23-18-19_1.mkv,ScreenRecording_05-20-2026 23-18-19_1.mkv,screenrecording 05 20 2026 23 18 19 1,5837946,5.57 MiB,62.337,1:02,hevc,aac,884,1920,1EE32B92-D043-918A-DD40-CCF52AD5455D,ScreenRecording_05-20-2026 23-18-19_1,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\ScreenRecording_05-20-2026 23-18-19_1.MP4,android-backup,0.48,weak/near only,numeric id; duration <=1.5s; same resolution; same video codec; same audio codec; very different size; mp4-like container,investigate renamed backup file
10,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 233.mkv,JoinUs @RisqueMega 233.mkv,joinus risquemega 233,34115041,32.53 MiB,413.488,6:53,hevc,aac,1920,1080,C552C7FF-0286-6B9D-4205-5F32A28EC477,JoinUs @RisqueMega 233,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 233.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
11,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__360.mkv,OF4LM.COM is our home__360.mkv,of4lm com is our home 360,2823190,2.69 MiB,34.026,0:34,hevc,aac,1280,720,CB38DBC3-F0FF-5A62-0282-9B177E49BBB4,OF4LM.COM is our home__360,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__360.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
12,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 184.mkv,JoinUs @RisqueMega 184.mkv,joinus risquemega 184,46674171,44.51 MiB,561.719,9:22,hevc,aac,1920,1080,EE1FD037-86AD-68A1-23F5-22702D7FB3D7,JoinUs @RisqueMega 184,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 184.M4V,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
13,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__315.mkv,OF4LM.COM is our home__315.mkv,of4lm com is our home 315,1174359,1.12 MiB,14.131,0:14,hevc,aac,1280,720,E0C57B5B-5AF0-6366-AB10-624557E76D5F,OF4LM.COM is our home__315,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__315.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
