path,size_bytes,probe_ok,duration,width,height,video_codec,audio_codec,bitrate,faststart_status,existing_optimized_derivative,existing_receipt,optimized_output_path,receipt_path,recommended_profile
/mnt/spirit-8tb/media/yes/.face-review/DR 023.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/DR 024.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/DR 025.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/Devdildo01.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/Devdildo02.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/Devorah - boobs.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/OnlyFans_5 devorah.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/.face-review/OnlyFans_5 devorah2.mp4,4096,no,,,,,,,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/14318872.mp4,564221211,yes,1584.329229,1920,1080,h264,aac,2849009,unknown,no,no,,,mobile-720p-fast
/mnt/spirit-8tb/media/yes/214616.mp4,46387767,yes,767.702031,270,480,h264,aac,483393,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/217809.mp4,43059784,yes,641.142031,270,480,h264,aac,537288,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/223120.mp4,31776353,yes,578.102031,270,480,h264,aac,439733,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/334120.mp4,42033794,yes,598.586015,854,480,h264,aac,561774,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/360 1.mp4,42082287,yes,881.160000,640,360,h264,aac,382062,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/360 3.mp4,42904316,yes,977.920000,640,360,h264,aac,350984,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/360 4.mp4,35128292,yes,672.920000,640,360,h264,aac,417622,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/360 5.mp4,25504571,yes,484.984500,640,360,h264,aac,420707,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/360.mp4,49354479,yes,728.020000,640,360,h264,aac,542342,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/3869.mp4,42913012,yes,614.040000,270,480,h264,aac,559090,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/41251.mp4,10778064,yes,226.000000,270,480,h264,aac,381524,moov-before-mdat,no,no,,,skip already optimal
/mnt/spirit-8tb/media/yes/432038_720p.mp4,191049459,yes,952.903417,406,720,h264,aac,1603935,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/484374_720p.mp4,58233262,yes,543.850667,406,720,h264,aac,856606,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/513329_720p.mp4,72459810,yes,252.919333,608,1080,h264,aac,2291950,unknown,no,no,,,manual review
/mnt/spirit-8tb/media/yes/550807_720p.mp4,213995637,yes,888.861224,1280,720,h264,aac,1926020,unknown,no,no,,,manual review
