metadata_file,stale_reference,replacement_reference,expected_mp4_exists,ffprobe_passes,classification,blocked_reason
/mnt/spirit-8tb/media/yes/Ruth Lee Makes Her BF Cum Twice.mp4.media-ingest.json,Twice.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mkv,/DATA/yes/b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/b072fcb9f821c935f46a4ed67477a041.mp4.face-meta.json,b072fcb9f821c935f46a4ed67477a041.mkv,b072fcb9f821c935f46a4ed67477a041.mp4,True,True,safe basename migration,
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Natalie Roush Nut For Natalie November Ppv Dropping Tight Jeans.mp4.face-meta.json,Jeans.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Candy Love Begs for Mercy - Intense 2 Squirts - Multiple Orgasms.mp4.media-ingest.json,Orgasms.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Bonnie Blue Sucks And Fucks Her Driver.mp4.media-ingest.json,Driver.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Allinika Girl in Leggings Selects Her Ideal Match Beeg.mp4.media-ingest.json,Beeg.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/v 1.mkv.media-ingest.json,1.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Lexi Marvel Grinds That Juicy Ass In Tight Yoga Pants For This S.mp4.media-ingest.json,S.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Devorah Roloff Video 48 Hd Leaked Content May-2025 - OnlyFans Le.mp4.media-ingest.json,Le.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Bonnie Blue Sucks And Fucks Her Driver.mp4.face-meta.json,Driver.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Visit onlyshare.io for MORE 62.mkv.media-ingest.json,62.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/v 2.mp4.media-ingest.json,2.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Devorah Roloff OnlyFans For Free May-2024 7.mp4.media-ingest.json,7.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Cecilia Rose 89 Fuck Me Hard Please PPV Video Leaked.mp4.media-ingest.json,Leaked.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Candy Love Nut on Me and then Lets Fuck Beeg.mp4.media-ingest.json,Beeg.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Devorah rollof dildo 1.mp4.media-ingest.json,1.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Candy Love Good Boy Gets Good Head then Good Sex Beeg.mp4.face-meta.json,Beeg.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/✨@ofxmega on [TELEGRAM] (276).mkv.media-ingest.json,(276).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/✨@ofxmega on [TELEGRAM] (279).mkv.media-ingest.json,(279).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/Comatozze new sex on the first date.mp4.face-meta.json,date.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/14318872.mp4.face-meta.json,/DATA/yes/14318872.mkv,/DATA/yes/14318872.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/Candy Love Nut on Me and then Lets Fuck Beeg(1).mp4.face-meta.json,Beeg(1).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/jvlrc49ddg~7KxkgZMm9j.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/jvlrc49ddg~7KxkgZMm9j.mkv,/mnt/spirit-8tb/media/yes/jvlrc49ddg~7KxkgZMm9j.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/484374_720p.mp4.face-meta.json,/DATA/yes/484374_720p.mkv.face-meta.json,/DATA/yes/484374_720p.mp4.face-meta.json,True,True,safe exact path migration,
