index,filename,title_search_found,match_count,best_match_filename,best_match_path,best_match_score,best_match_reasons
1,484374_720p.mkv,true,20,207601_720p.mp4,D:\tempVidStorage\anrdoidBackup\207601_720p.mp4,0.75,numeric id overlap: 720
2,550807_720p.mkv,true,20,207601_720p.mp4,D:\tempVidStorage\anrdoidBackup\207601_720p.mp4,0.75,numeric id overlap: 720
3,432038_720p.mkv,true,20,207601_720p.mp4,D:\tempVidStorage\anrdoidBackup\207601_720p.mp4,0.75,numeric id overlap: 720
4,14318872.mkv,true,1,(31).MP4,D:\tempVidStorage\anrdoidBackup\(31).MP4,0.88,title contains candidate: (31).MP4
5,b072fcb9f821c935f46a4ed67477a041.mkv,true,2,(21).MP4,D:\tempVidStorage\anrdoidBackup\(21).MP4,0.88,title contains candidate: (21).MP4
6,513329_720p.mkv,true,20,207601_720p.mp4,D:\tempVidStorage\anrdoidBackup\207601_720p.mp4,0.75,numeric id overlap: 720
7,Aaliyah Yasin Has Unprotected Sex With A Stranger.optimized.mkv,true,1,Aaliyah Yasin Has Unprotected Sex With A Stranger.mp4,D:\tempVidStorage\Aaliyah Yasin Has Unprotected Sex With A Stranger.mp4,1,exact title: Aaliyah Yasin Has Unprotected Sex With A Stranger; soft exact title: Aaliyah Yasin Has Unprotected Sex With A Stranger; candidate contains title: Aaliyah Yasin Has Unprotected Sex With A Stranger; title contains candidate: Aaliyah Yasin Has Unprotected Sex With A Stranger; word overlap 100%
8,OF4LM.COM is our home__406.mkv,true,7,OF4LM.COM is our home__406.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__406.MP4,0.98,soft exact title: OF4LM.COM is our home__406; candidate contains title: OF4LM.COM is our home__406; title contains candidate: OF4LM.COM is our home__406.MP4; numeric id overlap: 406; word overlap 100%
9,ScreenRecording_05-20-2026 23-18-19_1.mkv,true,3,ScreenRecording_05-20-2026 23-18-19_1.MP4,D:\tempVidStorage\anrdoidBackup\ScreenRecording_05-20-2026 23-18-19_1.MP4,0.98,soft exact title: ScreenRecording_05-20-2026 23-18-19_1; candidate contains title: ScreenRecording_05-20-2026 23-18-19_1; title contains candidate: ScreenRecording_05-20-2026 23-18-19_1.MP4; numeric id overlap: 2026
10,JoinUs @RisqueMega 233.mkv,true,1,JoinUs @RisqueMega 233.MP4,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 233.MP4,0.98,soft exact title: JoinUs @RisqueMega 233; candidate contains title: JoinUs @RisqueMega 233; title contains candidate: JoinUs @RisqueMega 233.MP4; numeric id overlap: 233
11,OF4LM.COM is our home__360.mkv,true,12,OF4LM.COM is our home__360.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__360.MP4,0.98,soft exact title: OF4LM.COM is our home__360; candidate contains title: OF4LM.COM is our home__360; title contains candidate: OF4LM.COM is our home__360.MP4; numeric id overlap: 360; word overlap 100%
12,JoinUs @RisqueMega 184.mkv,true,1,JoinUs @RisqueMega 184.M4V,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 184.M4V,0.98,soft exact title: JoinUs @RisqueMega 184; candidate contains title: JoinUs @RisqueMega 184; title contains candidate: JoinUs @RisqueMega 184.M4V; numeric id overlap: 184
13,OF4LM.COM is our home__315.mkv,true,8,OF4LM.COM is our home__315.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__315.MP4,0.98,soft exact title: OF4LM.COM is our home__315; candidate contains title: OF4LM.COM is our home__315; title contains candidate: OF4LM.COM is our home__315.MP4; numeric id overlap: 315; word overlap 100%
14,OF4LM.COM is our home__400.mkv,true,7,OF4LM.COM is our home__400.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__400.MP4,0.98,soft exact title: OF4LM.COM is our home__400; candidate contains title: OF4LM.COM is our home__400; title contains candidate: OF4LM.COM is our home__400.MP4; numeric id overlap: 400; word overlap 100%
15,JoinUs @RisqueMega 64.mkv,true,1,JoinUs @RisqueMega 64.MP4,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 64.MP4,0.98,soft exact title: JoinUs @RisqueMega 64; candidate contains title: JoinUs @RisqueMega 64; title contains candidate: JoinUs @RisqueMega 64.MP4
16,OF4LM.COM is our home__377.mkv,true,7,OF4LM.COM is our home__377.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__377.MP4,0.98,soft exact title: OF4LM.COM is our home__377; candidate contains title: OF4LM.COM is our home__377; title contains candidate: OF4LM.COM is our home__377.MP4; numeric id overlap: 377; word overlap 100%
17,Visit onlyshare.io FOR MORE (8).mkv,true,14,Visit onlyshare.io FOR MORE (8).MP4,D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io FOR MORE (8).MP4,0.98,soft exact title: Visit onlyshare.io FOR MORE (8); candidate contains title: Visit onlyshare.io FOR MORE (8); title contains candidate: Visit onlyshare.io FOR MORE (8).MP4; word overlap 100%
