source_path,size_bytes,duration,container,video_codec,audio_codec,width,height,bitrate,faststart_status,recommended_profile,delete_after_verify
/mnt/spirit-8tb/media/tempTwitter/ᐢ. .ᐢ - clamped up ：P [2049862372257644544].mp4,568589,4.760091,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,712,955593,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/mia - rub it through my boxers？ [2049229155146047488].mp4,1075020,7.058866,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1218348,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Beautiful Females - What's going on here？ [2048033060663484416].mp4,1341181,11.284898,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,950779,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/l u c i ⪩⪨ - creamy gf 💦 [2037628879548891136].mp4,3105836,9.496961,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1804,1026,2616277,moov-before-mdat,mobile-720p,yes
"/mnt/spirit-8tb/media/tempTwitter/2 girls, 1 onlyfans 🦋👯‍♀️ - wataa 💦 [2017220068191666176].mp4",3121185,9.566621,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2610062,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/luna - u down or am i not good enough？？ [2055140081619648512].mp4,3789032,14.257052,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,2126123,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna☁️ - a few bounces wouldn’t hurt either [2061940100959973376].mp4,3839438,14.558912,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,2109738,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Lee - https：⧸⧸t.co⧸TsgsRWuYVa [2049248211454627841].mp4,3924690,57.028209,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1092,720,550561,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Katiekatrina - Let’s find out 😈 [2059666485191266304].mp4,3933348,26.238549,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1199257,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Lillian 💛 - Would you cum on my tits？💦😈 [2060430568592900097].mp4,3936816,21.4,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1471706,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna🌸 - may this tweet find all the foot obsessed l＊sers ;p [2058276131103485953].mp4,3993122,19.853061,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1609070,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/April - I hope my manager doesn’t see this 😭 [2049202964225781760].mp4,4003353,13.353333,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2398414,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/𝗗𝗮𝗿𝗸 𝗯𝗿𝗮𝘇𝘇𝗲𝗿 🌚 - Watta 🍑 [2056229369404600320].mp4,4017268,22.291156,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1441744,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Katiekatrina - Is that what I think it is？ [2044786484792967168].mp4,4177487,17.368526,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1924164,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - VID SOLD! Hijabi Aaliyah gets caught by husbands best friend 🔥 Check ... [2050739832662761472].mp4,4243902,29.489342,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,1151304,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/willow ⛧ - oral fixation？？ more like willow fixation &gt;ᵥ_ᵥ&lt; [2059173662192754688].mp4,4384078,33.2,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,960,704,1056404,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna🌸 - staring contest!! did u lose？ c; [2055055149693915136].mp4,4519304,11.563537,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,3126589,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Tilly - In this heat it's the first thing I do when I get home [2059709510516674560].mp4,4531128,33.433333,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1084218,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/l u c i ⪩⪨ - put your face in it🖤 [2039934732851376129].mp4,4552809,8.6,"mov,mp4,m4a,3gp,3g2,mj2",h264,,1920,1080,4235171,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/willow ⛧ - stroke it to me ⋆˚꩜｡ [2055848531613630465].mp4,4652176,49.760363,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,940,694,747932,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna☁️ - u little shrimpy [2055810778880679936].mp4,5338736,8.428844,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1440,2560,5067110,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Jazmen Jafar - Taking off my sweater surprises people sometimes [2054262515828199424].mp4,5391305,15.023311,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,2870901,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/𓆩♡𓆪 𝗣𝗿𝗶𝗻𝗰𝗲𝘀𝘀 𓆩♡𓆪 - wataa🍆 [2051865052295172098].mp4,5508695,53.150476,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,594,1080,829147,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/ᐢ. .ᐢ - proof my boobs are real !!! [2045871750249127936].mp4,5567180,18.413424,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1018,1836,2418748,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Toni-milkies 🌺 - wataa [2049354709673390080].mp4,5674271,12.533333,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1920,1080,3621875,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Katiekatrina - Eye contact letssss gooooo [2058908981683531776].mp4,5971039,26.517188,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,720,1280,1801409,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Katiekatrina - Can I have some attention pls？ [2032144309185888256].mp4,6120335,52.059138,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,576,1024,940520,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/Rita 🍓 - nothing underneath.... [2053209531467890691].mp4,6260082,34.083333,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,718,1469359,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/luna ✮⋆˙ - up for the challenge？？ [2060220625525121024].mp4,6473627,14.419592,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1440,2560,3591572,moov-before-mdat,mobile-720p,yes
/mnt/spirit-8tb/media/tempTwitter/Lola 🍅 no paywalls EVER! - Love sucking on a softie and feeling it grow hard in my mouth! 🤤 [2058558864706899968].mp4,6781433,30.418141,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,1920,1783523,moov-before-mdat,mobile-720p,yes
