path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/Arthur Collins - Can I get a kiss 👄💋？ [2031284122010923016].mp4,Arthur Collins - Can I get a kiss 👄💋？ [2031284122010923016].mp4,.mp4,1524103,2026-06-21T02:56:16.149Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Arthur Collins - comment “yes” and wait 💝 [2030580756104544256].mp4,Arthur Collins - comment “yes” and wait 💝 [2030580756104544256].mp4,.mp4,2668302,2026-06-21T02:56:13.775Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/C A L A M I T Y ! - AGREED 😻 [2028388969843437568].mp4,C A L A M I T Y ! - AGREED 😻 [2028388969843437568].mp4,.mp4,9704021,2026-06-21T02:57:31.501Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/C A L A M I T Y ! - just a tease ✨ [2027094036641660928].mp4,C A L A M I T Y ! - just a tease ✨ [2027094036641660928].mp4,.mp4,13320852,2026-06-21T02:57:27.802Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - Hey there ❤️ [2022011223223468032].mp4,DevotedMommy - Hey there ❤️ [2022011223223468032].mp4,.mp4,5373136,2026-06-21T02:57:19.264Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - Mommy will get you a treat [2005297181817716736].mp4,DevotedMommy - Mommy will get you a treat [2005297181817716736].mp4,.mp4,3000407,2026-06-21T02:57:21.686Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - New voice 🫣😂 [2020527180845887489].mp4,DevotedMommy - New voice 🫣😂 [2020527180845887489].mp4,.mp4,3097734,2026-06-21T02:57:16.324Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/DevotedMommy - Should I lose a little weight？ [2019235565565014016].mp4,DevotedMommy - Should I lose a little weight？ [2019235565565014016].mp4,.mp4,1126770,2026-06-21T02:57:14.570Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/FinoFilipino - La prensa hidráulica humana. [2030813286225371136].mp4,FinoFilipino - La prensa hidráulica humana. [2030813286225371136].mp4,.mp4,8211056,2026-06-21T02:57:10.751Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Gianna J - 44 year old mom shaking my ass like it’s 1999 [2031200324455657472].mp4,Gianna J - 44 year old mom shaking my ass like it’s 1999 [2031200324455657472].mp4,.mp4,3073843,2026-06-21T02:56:10.353Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Good Girl Kate 💗 - https：⧸⧸t.co⧸928c9r13WB [2030063169293668352].mp4,Good Girl Kate 💗 - https：⧸⧸t.co⧸928c9r13WB [2030063169293668352].mp4,.mp4,1430374,2026-06-21T02:57:33.501Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Good Girl Kate 💗 - https：⧸⧸t.co⧸MaidfGUiUW [2030063803292151808].mp4,Good Girl Kate 💗 - https：⧸⧸t.co⧸MaidfGUiUW [2030063803292151808].mp4,.mp4,3515671,2026-06-21T02:56:40.519Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Jenna - what do you think？ 😜 [2029554579483074560].mp4,Jenna - what do you think？ 😜 [2029554579483074560].mp4,.mp4,3005655,2026-06-21T02:57:42.629Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Julia 🩵 FREE OF - https：⧸⧸t.co⧸tTzGsI5zpb [2030983540830261248].mp4,Julia 🩵 FREE OF - https：⧸⧸t.co⧸tTzGsI5zpb [2030983540830261248].mp4,.mp4,3312222,2026-06-21T02:56:45.348Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Can I throw this on you？🥺👉🏼👈🏼 [2030872035040342016].mp4,Kraziilexii On 🩵🤍 - Can I throw this on you？🥺👉🏼👈🏼 [2030872035040342016].mp4,.mp4,13535283,2026-06-21T02:56:25.968Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Is this thicc enough 4 uu😚💞 [2026217170875916288].mp4,Kraziilexii On 🩵🤍 - Is this thicc enough 4 uu😚💞 [2026217170875916288].mp4,.mp4,13982501,2026-06-21T02:56:19.890Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Kraziilexii On 🩵🤍 - Worship This Juicy Fat Ass💋 [2028261860181692416].mp4,Kraziilexii On 🩵🤍 - Worship This Juicy Fat Ass💋 [2028261860181692416].mp4,.mp4,5366061,2026-06-21T02:56:23.309Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Late Mood Activated 🌙 - https：⧸⧸t.co⧸AVnIUPFE7v [2030837663679512576].mp4,Late Mood Activated 🌙 - https：⧸⧸t.co⧸AVnIUPFE7v [2030837663679512576].mp4,.mp4,901568,2026-06-21T02:56:52.855Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - Can I just touch it a little bit？ 🥺 [2008232699811565568].mp4,LilyKoti 🙀 - Can I just touch it a little bit？ 🥺 [2008232699811565568].mp4,.mp4,2916025,2026-06-21T02:56:43.236Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Olivia Jaymes RN - Just checking you're LE pressures...don't mind me. [2029629717851070464].mp4,Olivia Jaymes RN - Just checking you're LE pressures...don't mind me. [2029629717851070464].mp4,.mp4,5123571,2026-06-21T02:57:40.342Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Pearl ✿ - Trying to hypnotize you with my booty! ：) [2031130603274514432].mp4,Pearl ✿ - Trying to hypnotize you with my booty! ：) [2031130603274514432].mp4,.mp4,3182230,2026-06-21T02:56:29.406Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Quilly Media - I wonder how disappointed her father is when he sees a clip of his da... [2031044033494081536].mp4,Quilly Media - I wonder how disappointed her father is when he sees a clip of his da... [2031044033494081536].mp4,.mp4,6102140,2026-06-21T02:56:57.364Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Sajjal Hussain - helpp me👅 [2011814119737823232].mp4,Sajjal Hussain - helpp me👅 [2011814119737823232].mp4,.mp4,41797942,2026-06-21T02:59:11.831Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.part,Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.part,.part,1928577,2026-06-21T02:59:16.453Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.part-Frag3.part,Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.part-Frag3.part,.part,261120,2026-06-21T02:59:16.514Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.ytdl,Sajjal Hussain - i'm so 💦🌊💧 rightnow .. ton of content comin 👅 [2014765715132178432].fhls-5733.mp4.ytdl,.ytdl,69,2026-06-21T02:59:16.459Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/Secret Worth Clicking 👀 - https：⧸⧸t.co⧸BdaJjHQLG4 [2030945031868284929].mp4,Secret Worth Clicking 👀 - https：⧸⧸t.co⧸BdaJjHQLG4 [2030945031868284929].mp4,.mp4,1690835,2026-06-21T02:56:51.133Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Sweet Muffins ! - Chudai 🥰 [2020924744720121856].mp4,Sweet Muffins ! - Chudai 🥰 [2020924744720121856].mp4,.mp4,28837473,2026-06-21T02:56:06.788Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Valorie 💕 (Face on OF) - are my boobs busty enough for you？ 😈 [2031709050430447616].mp4,Valorie 💕 (Face on OF) - are my boobs busty enough for you？ 😈 [2031709050430447616].mp4,.mp4,5890958,2026-06-21T02:55:28.983Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
