path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough,reason
/mnt/spirit-8tb/media/tempTwitter/Ash baby - chudai [1999323786269851648].mp4,Ash baby - chudai [1999323786269851648].mp4,.mp4,1995484,2026-06-21T03:01:04.744Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Ash baby - kissing the tip [2007724734054817792].mp4,Ash baby - kissing the tip [2007724734054817792].mp4,.mp4,4017074,2026-06-21T03:01:08.969Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Ash baby - need it badly [2014512183095525377].mp4,Ash baby - need it badly [2014512183095525377].mp4,.mp4,3948191,2026-06-21T03:01:10.961Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Ash baby - wataa？ ：3 [2003011545383780352].mp4,Ash baby - wataa？ ：3 [2003011545383780352].mp4,.mp4,2537999,2026-06-21T03:01:06.828Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-774.mp4,CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-774.mp4,.mp4,59142203,2026-06-21T03:01:39.756Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-audio-128000-Audio.mp4.part,CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-audio-128000-Audio.mp4.part,.part,6276168,2026-06-21T03:01:54.067Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-audio-128000-Audio.mp4.ytdl,CUNT.BUNNie🎀 - 😜 [2004007835118772224].fhls-audio-128000-Audio.mp4.ytdl,.ytdl,71,2026-06-21T03:01:54.076Z,no,yes,no,incomplete/temp file
/mnt/spirit-8tb/media/tempTwitter/I Love Cumwalks (250k) 🔞 - 🏆 My Cumwalk of the Year 2025!! 🏆  A first-time cumwalk for @HotwifeE... [2006877859705434112].mp4,I Love Cumwalks (250k) 🔞 - 🏆 My Cumwalk of the Year 2025!! 🏆  A first-time cumwalk for @HotwifeE... [2006877859705434112].mp4,.mp4,7562536,2026-06-21T03:01:01.205Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/LilyKoti 🙀 - The work meeting of my dreams 😹 [2008230499202760704].mp4,LilyKoti 🙀 - The work meeting of my dreams 😹 [2008230499202760704].mp4,.mp4,5607459,2026-06-21T03:00:01.963Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/My Prejac Boyfriend - 10 seconds 😆  @dragunballtea [2024818807295062016].mp4,My Prejac Boyfriend - 10 seconds 😆  @dragunballtea [2024818807295062016].mp4,.mp4,4286261,2026-06-21T02:59:58.479Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Sarah Shaye ♡ - 3 reasons why I'm breeding worthy [2027262771847458816].mp4,Sarah Shaye ♡ - 3 reasons why I'm breeding worthy [2027262771847458816].mp4,.mp4,41332966,2026-06-21T03:00:10.140Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/Sarah Shaye ♡ - My Irish famine build on a treadmill [2027254007660421120].mp4,Sarah Shaye ♡ - My Irish famine build on a treadmill [2027254007660421120].mp4,.mp4,6147386,2026-06-21T03:01:13.061Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes,unsupported input
/mnt/spirit-8tb/media/tempTwitter/mia - join mee it’s cold 🥺💗 [2027064629088899073].mp4,mia - join mee it’s cold 🥺💗 [2027064629088899073].mp4,.mp4,5373297,2026-06-21T02:59:55.049Z,yes,no,no,modified less than 120s ago
/mnt/spirit-8tb/media/tempTwitter/小佬攻🔞 - Chudai.....💦🍌 [2006429088622456840].mp4,小佬攻🔞 - Chudai.....💦🍌 [2006429088622456840].mp4,.mp4,93419488,2026-06-21T03:00:35.263Z,yes,no,no,modified less than 120s ago
