path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - VID SOLD! Aaliyah Yasin invites a white guy to her hotel room 🔥 Check... [2021135231126798336].mp4,Aaliyah Yasin - VID SOLD! Aaliyah Yasin invites a white guy to her hotel room 🔥 Check... [2021135231126798336].mp4,.mp4,3188406,2026-06-21T03:14:22.867Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2018419579194613762].mp4,Aaliyah Yasin - Wataa [2018419579194613762].mp4,.mp4,7833631,2026-06-21T03:14:49.234Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2020452998024200192].mp4,Aaliyah Yasin - Wataa [2020452998024200192].mp4,.mp4,49516621,2026-06-21T03:15:11.192Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2021160380341592064].mp4,Aaliyah Yasin - Wataa [2021160380341592064].mp4,.mp4,51045610,2026-06-21T03:14:40.279Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2021623990368751616].mp4,Aaliyah Yasin - Wataa [2021623990368751616].mp4,.mp4,31227012,2026-06-21T03:14:54.983Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018491723761262592].mp4,HD FLIX - Watta 👅 [2018491723761262592].mp4,.mp4,81065330,2026-06-21T03:13:38.601Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.part,HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.part,.part,31804912,2026-06-21T03:15:32.733Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.part-Frag139.part,HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.part-Frag139.part,.part,252477,2026-06-21T03:15:33.347Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.ytdl,HD FLIX - Watta 👅 [2018938186387587073].fhls-740.mp4.ytdl,.ytdl,71,2026-06-21T03:15:33.284Z,no,yes,no
/mnt/spirit-8tb/media/tempTwitter/SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,.webm,5189934,2026-06-21T03:11:02.282Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/THE NUT EXTRACTOR 9000 - get TRIGGERED gooner [1995906765540491264].mp4,THE NUT EXTRACTOR 9000 - get TRIGGERED gooner [1995906765540491264].mp4,.mp4,10720444,2026-06-21T03:14:59.727Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/Two Heads 🤤🫠 - How I low-key want my dick’s be cheated [1935027117462536194].mp4,Two Heads 🤤🫠 - How I low-key want my dick’s be cheated [1935027117462536194].mp4,.mp4,28988089,2026-06-21T03:14:12.069Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
