path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/21+ - Wataa 🎀 [1881816312693108736].mp4,21+ - Wataa 🎀 [1881816312693108736].mp4,.mp4,670000,2026-06-21T04:03:42.697Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/21+ - juicy booty goon compilation 🙏💦💕 [1873102726772465664].mp4,21+ - juicy booty goon compilation 🙏💦💕 [1873102726772465664].mp4,.mp4,9586868,2026-06-21T04:03:38.609Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/21+ - may i bounce on you like thiss!？😘💕 [1877082359645806592].mp4,21+ - may i bounce on you like thiss!？😘💕 [1877082359645806592].mp4,.mp4,2535005,2026-06-21T04:03:41.398Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/4’9 anal princess 👸 - Chudai？ 👃 [1981722506277933057].mp4,4’9 anal princess 👸 - Chudai？ 👃 [1981722506277933057].mp4,.mp4,1295543,2026-06-21T03:56:51.095Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/4’9 anal princess 👸 - Wataa 👄 [1978823238034640896].mp4,4’9 anal princess 👸 - Wataa 👄 [1978823238034640896].mp4,.mp4,552903,2026-06-21T03:56:49.574Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/813ARCHIVES - 休日出勤を頑張るあなたにオススメの1本！ 北嶋あんの爆乳を堪能して今日を頑張ろう💪 【PR】 [1986972133181079552].mp4,813ARCHIVES - 休日出勤を頑張るあなたにオススメの1本！ 北嶋あんの爆乳を堪能して今日を頑張ろう💪 【PR】 [1986972133181079552].mp4,.mp4,3069800,2026-06-21T03:53:18.762Z,yes,no,yes
"/mnt/spirit-8tb/media/tempTwitter/ACE‼️ 🇵🇸 (indefinite hiatus) - go on gooner, pump that needy cock. wrap your hand around the base an... [1992630783442395136].mp4","ACE‼️ 🇵🇸 (indefinite hiatus) - go on gooner, pump that needy cock. wrap your hand around the base an... [1992630783442395136].mp4",.mp4,9729502,2026-06-21T03:20:58.909Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - VID SOLD! Aaliyah Yasin invites a white guy to her hotel room 🔥 Check... [2021135231126798336].mp4,Aaliyah Yasin - VID SOLD! Aaliyah Yasin invites a white guy to her hotel room 🔥 Check... [2021135231126798336].mp4,.mp4,3188406,2026-06-21T03:14:22.867Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - VID SOLD! The Pakistani girl next door 🔥 Check it out! #MVSales @many... [2021378025183690752].mp4,Aaliyah Yasin - VID SOLD! The Pakistani girl next door 🔥 Check it out! #MVSales @many... [2021378025183690752].mp4,.mp4,6370599,2026-06-21T03:16:29.230Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2018419579194613762].mp4,Aaliyah Yasin - Wataa [2018419579194613762].mp4,.mp4,7833631,2026-06-21T03:14:49.234Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2020452998024200192].mp4,Aaliyah Yasin - Wataa [2020452998024200192].mp4,.mp4,49516621,2026-06-21T03:15:11.192Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2020812845026594816].mp4,Aaliyah Yasin - Wataa [2020812845026594816].mp4,.mp4,46597004,2026-06-21T03:16:22.534Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2021160380341592064].mp4,Aaliyah Yasin - Wataa [2021160380341592064].mp4,.mp4,51045610,2026-06-21T03:14:40.279Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Aaliyah Yasin - Wataa [2021623990368751616].mp4,Aaliyah Yasin - Wataa [2021623990368751616].mp4,.mp4,31227012,2026-06-21T03:14:54.983Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Adaora - It's a cræzy world 😔🤦🏻 [1990660660229816321].mp4,Adaora - It's a cræzy world 😔🤦🏻 [1990660660229816321].mp4,.mp4,1784997,2026-06-21T03:45:12.859Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Addictedtoana - The question I get the most  “are u the waffle lady？”  Nope 🙂‍↔️ I’m ... [1995252864201965568].mp4,Addictedtoana - The question I get the most  “are u the waffle lady？”  Nope 🙂‍↔️ I’m ... [1995252864201965568].mp4,.mp4,2667985,2026-06-21T03:43:35.424Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Althea - Chudai 🍔 [1972694165826764800].mp4,Althea - Chudai 🍔 [1972694165826764800].mp4,.mp4,19027185,2026-06-21T03:53:35.616Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Amberny ♡ - hehe yea [1965909378416193536].mp4,Amberny ♡ - hehe yea [1965909378416193536].mp4,.mp4,1086019,2026-06-21T03:32:39.637Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Amberny ♡ - say hi for a 🍑 in your dms [1995984143357014016].mp4,Amberny ♡ - say hi for a 🍑 in your dms [1995984143357014016].mp4,.mp4,806640,2026-06-21T03:32:41.097Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Anton Harden - she loves heavy bbc💦 [1969992041464823808].mp4,Anton Harden - she loves heavy bbc💦 [1969992041464823808].mp4,.mp4,34198094,2026-06-21T03:35:09.782Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - I understood the assignment [2004000226646827008].mp4,Ash 🫧 - I understood the assignment [2004000226646827008].mp4,.mp4,9282639,2026-06-21T03:33:08.404Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ash 🫧 - Your new thicc gf [1994957014183632896].mp4,Ash 🫧 - Your new thicc gf [1994957014183632896].mp4,.mp4,12422467,2026-06-21T03:39:47.727Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ashley G - Come smack it on [1979786096268505088].mp4,Ashley G - Come smack it on [1979786096268505088].mp4,.mp4,4770948,2026-06-21T03:57:22.104Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ashley G - Dm me papi 💋⬇️ [1979361954192842752].mp4,Ashley G - Dm me papi 💋⬇️ [1979361954192842752].mp4,.mp4,6277441,2026-06-21T03:57:19.563Z,yes,no,yes
"/mnt/spirit-8tb/media/tempTwitter/Ashley G - Let me give you some head in a hat🤭🙃🥰  FULL VIDEO IS IN MY OF, LINK B... [2002173737471193088].mp4","Ashley G - Let me give you some head in a hat🤭🙃🥰  FULL VIDEO IS IN MY OF, LINK B... [2002173737471193088].mp4",.mp4,2451200,2026-06-21T03:34:00.692Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ashley G - Talk to me 🫦🫦🫦 ✨✨✨ [1980828566062268416].mp4,Ashley G - Talk to me 🫦🫦🫦 ✨✨✨ [1980828566062268416].mp4,.mp4,9602333,2026-06-21T03:57:25.308Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/AvaAlex No PPV!!❤️ - My makeup guru 😉 [1878093537935310848].mp4,AvaAlex No PPV!!❤️ - My makeup guru 😉 [1878093537935310848].mp4,.mp4,4793654,2026-06-21T03:45:06.630Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BABYLING ♡ - can I give you head while you game？ 🤭 @Tae_Jun10 [1906432362197524480].mp4,BABYLING ♡ - can I give you head while you game？ 🤭 @Tae_Jun10 [1906432362197524480].mp4,.mp4,1716233,2026-06-21T04:02:24.603Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BABYLING ♡ - do you like receiving head or giving head？ 😽 [1907179978673807360].mp4,BABYLING ♡ - do you like receiving head or giving head？ 😽 [1907179978673807360].mp4,.mp4,234634,2026-06-21T04:02:28.177Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BABYLING ♡ - do you love it when i get naked for you？ 💖 [1906835117366009856].mp4,BABYLING ♡ - do you love it when i get naked for you？ 💖 [1906835117366009856].mp4,.mp4,3103745,2026-06-21T04:02:26.789Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BBW Queen Aaliyah 👑 - wataa 🐆 [1977860162007265280].mp4,BBW Queen Aaliyah 👑 - wataa 🐆 [1977860162007265280].mp4,.mp4,137686,2026-06-21T04:00:06.932Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BBW Queen Aaliyah 👑 - wataa 🛗 [1978270013191532544].mp4,BBW Queen Aaliyah 👑 - wataa 🛗 [1978270013191532544].mp4,.mp4,1044564,2026-06-21T04:00:07.755Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/BBW Queen Aaliyah 👑 - wataa 🤍 [1976890667281321984].mp4,BBW Queen Aaliyah 👑 - wataa 🤍 [1976890667281321984].mp4,.mp4,498212,2026-06-21T04:00:05.749Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Babydoll Hannah 🩷​ - Chudai 💦 [1957869905157480448].mp4,Babydoll Hannah 🩷​ - Chudai 💦 [1957869905157480448].mp4,.mp4,1252734,2026-06-21T03:45:39.807Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Babydoll Hannah 🩷​ - Chudai 💦 [1980706510142308352].mp4,Babydoll Hannah 🩷​ - Chudai 💦 [1980706510142308352].mp4,.mp4,2089479,2026-06-21T03:45:43.099Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Babydoll Hannah 🩷​ - Chudai 🥵 [1969446832074842112].mp4,Babydoll Hannah 🩷​ - Chudai 🥵 [1969446832074842112].mp4,.mp4,3428967,2026-06-21T03:45:41.411Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bambithick - WATAA 💦 [1997123145455546368].mp4,Bambithick - WATAA 💦 [1997123145455546368].mp4,.mp4,3178260,2026-06-21T03:34:52.799Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bambithick - WATAA 😮‍💨 [1980826340946284544].mp4,Bambithick - WATAA 😮‍💨 [1980826340946284544].mp4,.mp4,871931,2026-06-21T03:52:28.245Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bambithick - Wataa 💦 [1984678866837786624].mp4,Bambithick - Wataa 💦 [1984678866837786624].mp4,.mp4,4298563,2026-06-21T03:52:29.920Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Barstool Sports - “How bad are the Dolphins？” [1983710537084207104].mp4,Barstool Sports - “How bad are the Dolphins？” [1983710537084207104].mp4,.mp4,4449718,2026-06-21T03:55:34.762Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bibi - wataa [1986314414392213504].mp4,Bibi - wataa [1986314414392213504].mp4,.mp4,3859631,2026-06-21T03:53:28.944Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bibi - wataa [1987891851718746112].mp4,Bibi - wataa [1987891851718746112].mp4,.mp4,438282,2026-06-21T03:47:52.147Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bibi - wataa [1992993669394178050].mp4,Bibi - wataa [1992993669394178050].mp4,.mp4,1115727,2026-06-21T03:43:37.097Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bibi - wataa 💦 [1887143026398535680].mp4,Bibi - wataa 💦 [1887143026398535680].mp4,.mp4,337729,2026-06-21T03:53:27.240Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Boobies Public Flashing 🍒 - WATAA💦💦 [1965495741058568193].mp4,Boobies Public Flashing 🍒 - WATAA💦💦 [1965495741058568193].mp4,.mp4,2812938,2026-06-21T03:51:31.289Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Bri - got a place for me to sit？ [1990468605918547968].mp4,Bri - got a place for me to sit？ [1990468605918547968].mp4,.mp4,3302260,2026-06-21T03:18:34.987Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/C A L A M I T Y ! - WATAA 👅 [1988643816807559171].mp4,C A L A M I T Y ! - WATAA 👅 [1988643816807559171].mp4,.mp4,4520952,2026-06-21T03:19:50.802Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/C A L A M I T Y ! - wataa 🥵 [1947784819619844096].mp4,C A L A M I T Y ! - wataa 🥵 [1947784819619844096].mp4,.mp4,9764687,2026-06-21T03:19:40.944Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/CLIP - https：⧸⧸t.co⧸AzOZwFtQzC [1991551499369877504].mp4,CLIP - https：⧸⧸t.co⧸AzOZwFtQzC [1991551499369877504].mp4,.mp4,24278478,2026-06-21T03:24:51.355Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸5TcBqK2zST [2006876688865464320].mp4,Cum Bunny - https：⧸⧸t.co⧸5TcBqK2zST [2006876688865464320].mp4,.mp4,4741700,2026-06-21T03:24:19.599Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸Q6MeGhwlO4 [2004183612753670145].mp4,Cum Bunny - https：⧸⧸t.co⧸Q6MeGhwlO4 [2004183612753670145].mp4,.mp4,5468128,2026-06-21T03:25:32.700Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸TgzFPl4HdU [1791068218653601792].mp4,Cum Bunny - https：⧸⧸t.co⧸TgzFPl4HdU [1791068218653601792].mp4,.mp4,2581853,2026-06-21T03:25:12.184Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸cLcOOctvjr [1997161542983299072].mp4,Cum Bunny - https：⧸⧸t.co⧸cLcOOctvjr [1997161542983299072].mp4,.mp4,3792453,2026-06-21T03:35:18.965Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Cum Bunny - https：⧸⧸t.co⧸mfjxeTQrGe [1970727513866240000].mp4,Cum Bunny - https：⧸⧸t.co⧸mfjxeTQrGe [1970727513866240000].mp4,.mp4,797887,2026-06-21T03:24:41.073Z,yes,no,yes
