source_path,size_bytes,duration,container,video_codec,audio_codec,width,height,bitrate,faststart_status,recommended_profile,delete_after_verify
/mnt/spirit-8tb/media/tempTwitter/hennie ：3 - oh no my boobies r out 👾 [1814401870921904128].mp4,83256,1.834376,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,548,363092,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/hennie ：3 - should I take it off say ‘yes’ ^_^ [1765494928392826880].mp4,108788,2.753333,"mov,mp4,m4a,3gp,3g2,mj2",h264,,1280,720,316091,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/hennie ：3 - Ur fav asmr 𖦹๋࣭ ⭑ (blushing) [1762971334290931713].mp4,118029,1.950476,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,484103,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/hennie ：3 - Jiggly booty &gt;~&lt; [1753522057919479808].mp4,124822,3.227574,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,309389,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/BBW Queen Aaliyah 👑 - wataa 🐆 [1977860162007265280].mp4,137686,2.166667,"mov,mp4,m4a,3gp,3g2,mj2",h264,,576,756,508378,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/single mommyⓘi’m extremely horny - wataa 🐆 [1957289926489178112].mp4,137686,2.166667,"mov,mp4,m4a,3gp,3g2,mj2",h264,,576,756,508378,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/✧⁎ 𝓀𝑒𝒾 - is this enough？ [1791173317313138688].mp4,137742,1.068118,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1080,720,1031661,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/clair ꨄ - come take it off ：p [1941845157768245248].mp4,155952,2.466667,"mov,mp4,m4a,3gp,3g2,mj2",h264,,984,666,505790,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/𝐒𝐭𝐞𝐥𝐥𝐚 - drooly puppy &lt;3 [1893724843071184896].mp4,156992,2.033333,"mov,mp4,m4a,3gp,3g2,mj2",h264,,970,572,617673,moov-before-mdat,remux-faststart-only,yes
/mnt/spirit-8tb/media/tempTwitter/ᕱ⑅ᕱ - aim practice [1635386178366234624].mp4,164219,2.041905,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,1280,720,643395,moov-before-mdat,remux-faststart-only,yes
